,Brand,Model,Price(CAD),Price_save(CAD),Memory-Built-in(GB),Ram_size(GB),Display_resolution(pixels),Display_size(in),Colour,CPU,Front-Facing Camera Resolution(MP),Rear Camera Resolution(MP)  
770,APPLE,iPhone 5s,298.95, 47,32,1.0,1136 x 640,4.0,Silver,Dual-core 1.3 GHz Cyclone (ARM v8-based),1.2,8.0
771,APPLE,iPhone 8,390.9, 408,32,1.0,1 334 x 750,4.0,Silver,Dual-core 1.3 GHz Cyclone (ARM v8-based),1.2,8.0
772,APPLE,iPhone XS,1199.99, 799,512,4.0,2688 x 1242,6.5,Silver,Apple A12 Bionic,7.0,24.0
773,APPLE,iPhone 7,399.99, 200,32,2.0,750 x 1334,4.7,Red,Apple A10 Fusion,7.0,12.0
774,APPLE,iPhone XR,664.99, 215,64,3.0,1792 x 828,6.1,Blue,Apple A12 Bionic,7.0,12.0
775,IPHONE,6s 32gb,184.68, 115,32,2.0,1 334 x 750,4.7,Silver; White,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
776,APPLE,iPhone 7,328.23, 149,32,2.0,750 x 1334,4.7,Black,Apple A10 Fusion,7.0,12.0
777,APPLE,iPhone 6s,244.89, 155,32,2.0,1334 x 750,4.7,Silver,1.84GHz,7.0,12.0
778,IPHONE,SE 16gb,298.69, 177,16,2.0,1136-by-640-pixel,4.0,Silver; White.,A9 chip with 64-bit&nbsp;architecture,1.2,12.0
779,APPLE,iPhone 7,429.99, 170,32,2.0,750 x 1334,4.7,Red,Apple A10 Fusion,7.0,12.0
780,APPLE,iPhone 7,588.95, 111,256,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
781,APPLE,iPhone7 32gb,308.46, 117,32,2.0,1334-by-750-pixel,4.7,Black,A10 Fusion chip with 64-bit architecture;    Embedded M10 motion coprocessor.,7.0,12.0
782,APPLE,iPhone 6s,234.95, 265,128,2.0,1334 x 750,4.7,Silver,Apple A9,0.72,12.0
783,APPLE,iPhone 8,410.76, 179,64,2.0,1334 x 750,4.7,Silver,Apple A11 Bionic,7.0,12.0
784,APPLE,iPhone XS,1025.0, 305,256,4.0,2688 x 1242,6.5,Space grey,Apple A12 Bionic,7.0,24.0
785,APPLE,iPhone 7,398.08, 102,32,3.0,1080 x 1920,5.5,Silver,Apple A10 Fusion,7.0,24.0
786,APPLE,iPhone 5s,138.52, 207,32,3.0,1080 x 1920,5.5,Gold,Apple A10 Fusion,7.0,24.0
787,APPLE,iPhone 7,408.68, 77,256,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
788,APPLE,iPhone 5s,202.49, 143,256,1.0,1136 x 640,4.0,Space Gray,Dual-core 1.3 GHz Cyclone (ARM v8-based),1.2,8.0
789,APPLE,iPhone 7,567.14, 144,256,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
790,APPLE,iPhone 6,249.95, 114,256,1.0,1920 x 1080,5.5,Silver,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2,8.0
791,APPLE,iPhone 6,412.93,no sale,256,1.0,1920 x 1080,5.5,Silver,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2,8.0
792,APPLE,iPhone 6s,379.89, 33,256,2.0,1920 x 1080,5.5,Rose Gold,Dual-core 1.84 GHz Twister,5.0,12.0
795,APPLE,iPhone 6s,248.99, 751,16,2.0,1920 x 1080,5.5,Rose Gold,Apple A9,0.72,12.0
796,APPLE,iPhone 6s,195.0, 35,32,2.0,1334 x 750,4.7,Gold,Apple A9,0.72,12.0
797,APPLE,iPhone 7,399.99, 100,128,2.0,750 x 1334,4.7,Gold,Apple A10 Fusion,7.0,12.0
798,APPLE,iPhone SE,199.0,no sale,32,2.0,1136-by-640-pixel,4.0,Silver; White.,A9 chip with 64-bit&nbsp;architecture,1.2,12.0
799,APPLE,iPhone 7,349.99, 200,32,2.0,750 x 1334,4.7,Gold,Apple A10 Fusion,7.0,12.0
800,APPLE,iPhone 7,399.99, 200,128,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
801,APPLE,iPhone 7,289.99, 110,256,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
802,APPLE,iPhone 7,289.99, 310,256,2.0,750 x 1334,4.7,Rose Gold,Apple A10 Fusion,7.0,12.0
803,APPLE,iPhone 7,289.99, 110,256,2.0,750 x 1334,4.7,Black,Apple A10 Fusion,7.0,12.0
804,APPLE,iPhone 7,399.99, 100,256,2.0,750 x 1334,4.7,Black,Apple A10 Fusion,7.0,12.0
805,APPLE,iPhone XR,729.99, 270,256,3.0,1792 x 828,6.1,Coral,Apple A12 Bionic,7.0,12.0
806,APPLE,iPhone XR,729.99, 270,256,3.0,1792 x 828,6.1,Red,Apple A12 Bionic,7.0,12.0
807,APPLE,iPHONE 6S,369.0,no sale,256,3.0,1792 x 828,6.1,Red,Apple A12 Bionic,7.0,12.0
808,APPLE,IPHONE 6S,319.0,no sale,256,3.0,1792 x 828,6.1,Red,Apple A12 Bionic,7.0,12.0
809,APPLE,iPhone XR,729.99, 270,256,3.0,1792 x 828,6.1,White,Apple A12 Bionic,7.0,12.0
810,APPLE,iPhone XR,729.99, 270,256,3.0,1792 x 828,6.1,Black,Apple A12 Bionic,7.0,12.0
811,APPLE,iPhone 6s,186.06, 164,64,2.0,1334 x 750,4.7,Rose Gold,1.84GHz,7.0,12.0
812,APPLE,iPhone XS,899.99, 100,64,2.0,1334 x 750,4.7,Rose Gold,1.84GHz,7.0,12.0
813,APPLE,iPhone XS,930.0, 69,256,4.0,2688 x 1242,6.5,Gold,Apple A12 Bionic,7.0,24.0
814,APPLE,iPhone 5s,128.08, 42,32,4.0,2688 x 1242,6.5,Gray,Apple A12 Bionic,7.0,24.0
815,IPHONE,5s 32gb,299.0,no sale,32,1.0,1136-by-640-pixel,4.0,Grey; Black.,A7 chip with 64-bit architecture,1.2,8.0
816,APPLE,iPhone 8,469.0, 330,256,2.0,1334 x 750,4.7,Grey,Apple A11 Bionic,7.0,12.0
817,APPLE,iPhone 7,439.99, 160,128,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
818,APPLE,iPhone 7,396.99, 203,128,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
819,APPLE,iPHONE 6S,348.86, 111,128,3.0,1080 x 1920,5.5,Black,Apple A10 Fusion,7.0,24.0
820,APPLE,iPhone 6s,198.95, 141,32,2.0,1334 x 750,4.7,Silver,Apple A9,0.72,12.0
821,APPLE,iPhone 6,140.0, 60,32,1.0,1334 x 750,4.7,Space Gray,Apple A8,1.2,8.0
822,APPLE,iPhone 8,440.0, 110,256,2.0,1334 x 750,4.7,Gold,Apple A11 Bionic,7.0,12.0
823,APPLE,iPhone 8,440.0, 110,256,2.0,1334 x 750,4.7,Silver,Apple A11 Bionic,7.0,12.0
824,APPLE,iPhone 6,190.0, 70,64,1.0,1334 x 750,4.7,Gold,Apple A8,1.2,8.0
825,APPLE,iPhone 6s,184.97, 115,32,2.0,1334 x 750,4.7,Silver,Apple A9,0.72,12.0
826,APPLE,iPhone XR,725.0, 175,128,3.0,1792 x 828,6.1,Coral,Apple A12 Bionic,7.0,12.0
827,APPLE,iPhone 6s,194.64, 264,32,2.0,1334 x 750,4.7,Silver,1.84GHz,7.0,12.0
828,APPLE,iPHONE 6,241.95, 107,32,2.0,1334 x 750,4.7,Silver,1.84GHz,7.0,12.0
829,APPLE,iPhone XS,989.99, 240,64,4.0,2688 x 1242,6.5,Silver,Apple A12 Bionic,7.0,24.0
830,APPLE,iPhone 6s,179.99, 220,64,2.0,1334 x 750,4.7,Space Gray,Apple A9,0.72,12.0
831,APPLE,iPhone 6,139.99, 230,64,1.0,1334 x 750,4.7,Space Gray,Apple A8,1.2,8.0
832,IPHONE,6s 16gb,159.48, 201,16,2.0,1 334 x 750,4.7,Grey; Black.,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
833,APPLE,iPhone 6s,228.95, 170,16,2.0,1 334 x 750,4.7,Grey; Black.,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
834,APPLE,iPhone 6s,349.95, 177,16,2.0,1 334 x 750,4.7,Rose Gold; White,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
835,APPLE,iPhone 6,139.99, 230,64,1.0,1334 x 750,4.7,Silver,Apple A8,1.2,8.0
836,APPLE,iPhone 6s,199.99, 200,128,2.0,1334 x 750,4.7,Space Gray,Apple A9,0.72,12.0
837,APPLE,iPhone 8,375.0, 75,64,2.0,1334 x 750,4.7,Silver,Apple A11 Bionic,7.0,12.0
838,APPLE,iPhone 8,375.0, 200,64,2.0,1334 x 750,4.7,Gold,Apple A11 Bionic,7.0,12.0
839,APPLE,iPhone 6,198.78, 151,16,1.0,1920-by-1080-pixel,5.5,Gold; White.,A8 chip with 64-bit architecture; M8 motion coprocessor.,1.2,8.0
840,APPLE,iPhone XR,675.0, 25,64,3.0,1792 x 828,6.1,Yellow,Apple A12 Bionic,7.0,12.0
841,APPLE,iPhone XR,675.0, 25,64,3.0,1792 x 828,6.1,Blue,Apple A12 Bionic,7.0,12.0
842,APPLE,iPhone 6s,209.26, 122,16,2.0,1 334 x 750,4.7,Gold; White,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
843,APPLE,iPhone XR,619.99, 180,16,2.0,1 334 x 750,4.7,Gold; White,A9 chip with 64-bit&nbsp;architecture,5.0,12.0
844,APPLE,iPhone 7,499.99, 100,256,2.0,1920 x 1080-pixel resolution at 401 ppi,5.5,Gold,A10 Fusion chip,7.0,24.0
845,APPLE,iPhone 7,328.68, 71,128,2.0,750 x 1334,4.7,Rose Gold,Apple A10 Fusion,7.0,12.0
846,IPHONE,6 16gb,165.39, 121,16,2.0,750 x 1334,4.7,Gold,Apple A10 Fusion,7.0,12.0
847,APPLE,iPhone 6,158.74, 121,16,1.0,1 334 x 750,4.7,Gold; White,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2,8.0
848,APPLE,iPhone SE,149.95, 320,32,2.0,1136 x 640,4.0,Rose Gold,Apple A9,0.72,12.0
849,APPLE,iPhone 6s,420.86, 38,32,2.0,1920 x 1080,5.5,Gold,Dual-core 1.84 GHz Twister,5.0,12.0
850,APPLE,iPhone SE,149.95, 320,32,2.0,1136 x 640,4.0,Space gray,Apple A9,0.72,12.0
851,APPLE,iPhone 8,375.0, 125,64,2.0,1334 x 750,4.7,Grey,Apple A11 Bionic,7.0,12.0
852,APPLE,iPhone 7,398.95, 201,64,2.0,1334 x 750,4.7,Grey,Apple A11 Bionic,7.0,12.0
853,APPLE,iPhone SE,179.99,no sale,32,2.0,1136 x 640,4.0,Silver,Apple A9,0.72,12.0
854,APPLE,iPhone XS,999.99, 540,256,4.0,2688 x 1242,6.5,Space grey,Apple A12 Bionic,7.0,24.0
855,APPLE,iPhone 6s,319.99,no sale,32,2.0,1920 x 1080,5.5,Rose Gold,Apple A9,0.72,12.0
856,APPLE,iPhone XR,1059.99,no sale,256,3.0,1792 x 828,6.1,White,Apple A12 Bionic,7.0,12.0
857,APPLE,iPhone XS,859.99, 460,64,4.0,2688 x 1242,6.5,Space grey,Apple A12 Bionic,7.0,24.0
858,APPLE,iPhone SE,159.99,no sale,16,2.0,1136 x 640,4.0,Gold,Apple A9,0.72,12.0
859,APPLE,iPhone 6s,219.99,no sale,16,2.0,1334 x 750,4.7,Silver,Apple A9,0.72,12.0
860,APPLE,iPhone 7,389.0, 137,256,2.0,750 x 1334,4.7,Red,Apple A10 Fusion,7.0,12.0
861,APPLE,iPhone SE,159.99,no sale,16,2.0,1136 x 640,4.0,Rose Gold,Apple A9,0.72,12.0
862,APPLE,iPhone SE,159.99,no sale,16,2.0,1136 x 640,4.0,Silver,Apple A9,0.72,12.0
863,APPLE,iPhone 6s,319.99,no sale,32,2.0,1920 x 1080,5.5,Gold,Apple A9,0.72,12.0
864,APPLE,iPhone SE,247.0, 3,16,2.0,640 x 1136,4.0,Space Grey,Dual-core 1.84 GHz Twister,1.2,12.0
865,APPLE,iPhone 6s,267.95, 471,16,2.0,640 x 1136,4.0,Space Grey,Dual-core 1.84 GHz Twister,1.2,12.0
866,APPLE,iPhone 6s,309.0, 430,32,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
867,APPLE,iPhone 6s,315.0, 364,16,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
868,APPLE,iPhone 6,325.0, 704,64,1.0,1920 x 1080,5.5,Gold,Apple A8,1.2,8.0
870,APPLE,iPhone 7,269.0, 360,32,2.0,750 x 1334,4.7,Jet Black,Apple A10 Fusion,7.0,12.0
871,APPLE,iPhone 6s,289.0, 390,16,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
872,APPLE,iPhone 8,655.0, 504,256,3.0,1920 x 1080,5.5,Grey,Apple A11 Bionic,7.0,12.0
873,APPLE,iPhone XS,875.0, 504,64,4.0,2436 x 1125,5.8,Space grey,Apple A12 Bionic,7.0,24.0
875,APPLE,iPhone 8,645.0, 514,256,3.0,1920 x 1080,5.5,Gold,Apple A11 Bionic,7.0,12.0
876,APPLE,iPhone 6s,269.0, 470,32,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
877,APPLE,iPhone 6,249.0, 650,16,1.0,1920 x 1080,5.5,Space Gray,Apple A8,1.2,8.0
878,APPLE,iPhone 6s,325.0, 474,64,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
879,APPLE,iPHONE 6S,195.0, 404,64,2.0,1920 x 1080,5.5,Silver,Apple A9,0.72,12.0
